000000000000000121000011096,0.178,6.13,-2.85,1.17
000000000000000121000010223,0.152,5.85,-2.77,1.08
000000000000000121000011096,0.687,5.77,-2.75,0.94
000000000000000121000010223,0.169,5.86,-2.78,1.08
000000000000000121000011096,0.194,5.78,-2.79,1.12
000000000000000121000010223,0.800,5.67,-2.75,0.86
000000000000000121000011096,0.177,5.78,-2.80,1.12
000000000000000121000010223,0.191,5.79,-2.83,1.06
000000000000000121000011096,0.176,5.78,-2.80,1.12
000000000000000121000010223,0.153,5.90,-2.83,1.10
000000000000000121000011096,0.182,5.79,-2.81,1.12
000000000000000121000010223,0.155,5.90,-2.83,1.10
000000000000000121000011096,0.188,5.80,-2.82,1.12
000000000000000121000010223,0.240,5.97,-2.86,1.22
000000000000000121000011096,0.168,6.03,-2.86,1.14
000000000000000121000010223,0.177,6.08,-2.85,1.12
000000000000000121000011096,0.169,6.03,-2.87,1.14
000000000000000121000010223,0.159,6.09,-2.85,1.12
000000000000000121000011096,0.172,6.04,-2.87,1.14
000000000000000121000010223,0.156,6.09,-2.85,1.12
000000000000000121000011096,0.206,6.05,-2.87,1.14
000000000000000121000010223,0.155,6.09,-2.85,1.11
000000000000000121000011096,0.163,6.06,-2.87,1.14
000000000000000121000010223,0.155,6.09,-2.84,1.11
000000000000000121000011096,0.153,6.07,-2.87,1.14
000000000000000121000010223,0.154,6.09,-2.84,1.11
000000000000000121000011096,0.146,6.08,-2.87,1.15
000000000000000121000010223,0.166,6.09,-2.84,1.10
000000000000000121000011096,0.164,6.08,-2.87,1.15
000000000000000121000010223,0.160,6.09,-2.84,1.10
000000000000000121000011096,0.173,6.10,-2.87,1.15
000000000000000121000010223,0.151,6.08,-2.84,1.10
000000000000000121000011096,0.148,6.11,-2.87,1.15
000000000000000121000010223,0.167,6.07,-2.84,1.10
000000000000000121000011096,0.147,6.29,-2.84,1.20
000000000000000121000010223,0.161,6.06,-2.84,1.10
000000000000000121000011096,0.151,6.29,-2.84,1.20
000000000000000121000010223,0.252,6.05,-2.84,1.11
000000000000000121000011096,0.162,6.31,-2.84,1.20
000000000000000121000010223,0.187,6.04,-2.84,1.11
000000000000000121000010223,0.170,6.04,-2.84,1.11
000000000000000121000011096,0.533,5.93,-2.73,1.09
000000000000000121000010223,0.162,6.03,-2.83,1.11
000000000000000121000011096,0.196,5.93,-2.73,1.09
000000000000000121000010223,0.160,6.02,-2.83,1.10
000000000000000121000011096,0.162,5.94,-2.74,1.09
000000000000000121000010223,0.161,6.01,-2.82,1.10
000000000000000121000011096,0.151,5.95,-2.75,1.10
000000000000000121000010223,0.162,6.01,-2.82,1.10
000000000000000121000011096,0.149,5.97,-2.75,1.11
000000000000000121000010223,0.160,6.01,-2.82,1.10
000000000000000121000011096,0.241,5.99,-2.76,1.11
000000000000000121000010223,0.172,6.01,-2.82,1.10
000000000000000121000011096,0.163,6.01,-2.77,1.12
000000000000000121000010223,0.165,6.01,-2.82,1.10
000000000000000121000011096,0.150,6.03,-2.77,1.13
000000000000000121000010223,0.160,6.01,-2.82,1.10
000000000000000121000011096,0.169,6.06,-2.78,1.13
000000000000000121000010223,0.158,6.01,-2.82,1.10
000000000000000121000011096,0.147,6.08,-2.78,1.13
000000000000000121000010223,0.157,6.01,-2.82,1.10
000000000000000121000011096,0.146,6.10,-2.78,1.14
000000000000000121000010223,0.168,6.01,-2.82,1.10
000000000000000121000011096,0.143,6.11,-2.79,1.14
000000000000000121000010223,0.881,5.76,-2.66,0.85
000000000000000121000010223,0.179,5.85,-2.78,1.08
000000000000000121000010223,0.342,5.78,-2.70,0.99
000000000000000121000011096,0.199,6.04,-2.84,1.14
000000000000000121000010223,0.342,5.78,-2.70,0.99
000000000000000121000010223,0.018,5.90,-2.88,0.86
000000000000000121000010223,0.156,5.91,-2.87,1.08
000000000000000121000010223,0.144,5.90,-2.87,1.08
000000000000000121000010223,0.143,5.90,-2.87,1.08
000000000000000121000010223,0.154,5.90,-2.87,1.08
000000000000000121000010223,0.161,5.89,-2.87,1.08
000000000000000121000010223,0.161,5.89,-2.87,1.08
000000000000000121000010223,0.166,5.89,-2.87,1.08
000000000000000121000010223,0.169,5.88,-2.88,1.08
000000000000000121000010223,0.168,5.88,-2.88,1.07
000000000000000121000010223,0.171,5.87,-2.88,1.07
000000000000000121000010223,0.171,5.87,-2.88,1.07
000000000000000121000010223,0.163,5.87,-2.88,1.07
000000000000000121000010223,0.161,5.87,-2.88,1.07
000000000000000121000010223,0.255,5.84,-2.88,1.18
000000000000000121000010223,0.188,5.80,-2.88,1.06
000000000000000121000011096,0.102,5.49,-4.00,1.14
000000000000000121000010223,0.197,5.80,-2.88,1.06
000000000000000121000011096,0.229,5.49,-4.00,1.15
000000000000000121000010223,0.170,5.80,-2.88,1.06
000000000000000121000011096,0.185,5.48,-4.00,1.15
000000000000000121000010223,0.185,5.80,-2.88,1.06
000000000000000121000011096,0.174,5.47,-3.99,1.15
000000000000000121000010223,0.176,5.80,-2.88,1.06
000000000000000121000011096,0.174,5.46,-3.98,1.16
000000000000000121000010223,0.197,5.81,-2.88,1.07
000000000000000121000011096,0.194,5.44,-3.96,1.16
000000000000000121000010223,0.174,5.82,-2.88,1.07
000000000000000121000011096,0.192,5.42,-3.94,1.16
000000000000000121000010223,0.166,5.82,-2.88,1.07
000000000000000121000011096,0.190,5.40,-3.91,1.16
000000000000000121000010223,0.149,5.83,-2.88,1.07
000000000000000121000011096,0.191,5.37,-3.88,1.16
000000000000000121000010223,0.233,5.83,-2.88,1.08
000000000000000121000011096,0.207,5.34,-3.85,1.16
000000000000000121000010223,0.182,5.83,-2.88,1.08
000000000000000121000011096,0.221,4.96,-3.52,1.17
000000000000000121000010223,0.188,5.83,-2.88,1.08
000000000000000121000011096,0.231,4.95,-3.51,1.17
000000000000000121000010223,0.176,5.83,-2.88,1.08
