000000000000000121000010227,-3.084,1.191,0.959,0,0,2017/12/01 19:16:55,10:16:55.2175220,0.173
000000000000000121000010227,-3.077,1.232,0.908,0,0,2017/12/01 19:16:55,10:16:55.3256380,0.095
000000000000000121000010227,-3.261,1.315,0.945,0,0,2017/12/01 19:16:55,10:16:55.4337540,0.082
000000000000000121000010227,-3.113,1.242,0.884,0,0,2017/12/01 19:16:55,10:16:55.5418700,0.083
000000000000000121000010227,-3.132,1.276,0.908,0,0,2017/12/01 19:16:55,10:16:55.6499860,0.053
000000000000000121000010227,-3.039,1.079,0.849,0,0,2017/12/01 19:16:55,10:16:55.7581020,0.145
000000000000000121000010227,-3.071,1.132,0.855,0,0,2017/12/01 19:16:55,10:16:55.8662180,0.18
000000000000000121000010227,-3.053,1.149,0.861,0,0,2017/12/01 19:16:55,10:16:55.9743340,0.145
000000000000000121000010227,-3.043,1.151,0.905,0,0,2017/12/01 19:16:56,10:16:56.0824500,0.128
000000000000000121000010227,-3.191,1.218,0.925,0,0,2017/12/01 19:16:56,10:16:56.1905660,0.035
000000000000000121000010227,-3.093,1.167,0.918,0,0,2017/12/01 19:16:56,10:16:56.2986820,0.178
000000000000000121000010227,-3.064,1.142,0.889,0,0,2017/12/01 19:16:56,10:16:56.4067980,0.156
000000000000000121000010227,-3.05,1.147,0.912,0,0,2017/12/01 19:16:56,10:16:56.5149140,0.127
000000000000000121000010227,-3.041,1.146,0.979,0,0,2017/12/01 19:16:56,10:16:56.6230300,0.164
000000000000000121000010227,-3.119,1.153,0.954,0,0,2017/12/01 19:16:56,10:16:56.7311460,0.133
000000000000000121000010227,-3.095,1.139,0.93,0,0,2017/12/01 19:16:56,10:16:56.8392620,0.175
000000000000000121000010227,-3.211,1.342,0.959,0,0,2017/12/01 19:16:56,10:16:56.9473780,0.078
000000000000000121000010227,-3.159,1.264,0.98,0,0,2017/12/01 19:16:57,10:16:57.0554940,0.054
000000000000000121000010227,-3.196,1.346,0.886,0,0,2017/12/01 19:16:57,10:16:57.1636100,0.095
000000000000000121000010227,-3.003,1.199,0.95,0,0,2017/12/01 19:16:57,10:16:57.2717260,0.165
000000000000000121000010227,-2.938,1.19,0.829,0,0,2017/12/01 19:16:57,10:16:57.3798420,0.03
000000000000000121000010227,-3.142,1.141,1.041,0,0,2017/12/01 19:16:57,10:16:57.4879580,0.002
